Date,Start time,End time,Duration,rel. Duration,Project,Description,Tags
4/16/19,12:22,12:44,00:22:00,00:22:00,Book Cover Collage,,"At Home, Gridding, Watching SHIELD"
4/17/19,22:23,22:45,00:22:00,00:22:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/18/19,07:40,08:20,00:40:00,00:40:00,Book Cover Collage,,"Gridding, On 🚆"
4/18/19,22:22,23:01,00:39:00,00:39:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/19/19,11:16,11:46,00:30:00,00:30:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/19/19,15:25,15:30,00:05:00,00:05:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/20/19,22:14,22:52,00:38:00,00:38:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/21/19,14:27,15:10,00:43:00,00:43:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/21/19,22:40,23:18,00:38:00,00:38:00,Book Cover Collage,,"At Home, Gridding, Watching Avengers"
4/23/19,17:10,18:15,01:05:00,01:05:00,Book Cover Collage,,"At Home, Gridding, Watching GoT"
4/23/19,18:15,18:31,00:16:00,00:16:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/23/19,20:25,21:11,00:46:00,00:46:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/23/19,23:45,00:19,00:34:00,00:34:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/24/19,12:50,13:35,00:45:00,00:45:00,Book Cover Collage,,"At Home, Gridding, Watching Avengers"
4/24/19,15:07,16:06,00:59:00,00:54:00,Book Cover Collage,,"At Home, Gridding, Watching Avengers"
4/24/19,18:05,18:35,00:30:00,00:30:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/24/19,22:12,22:47,00:35:00,00:35:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/27/19,22:39,23:34,00:55:00,00:55:00,Book Cover Collage,,"At Home, Gridding, Watching Brooklyn 99"
4/28/19,12:30,13:15,00:45:00,00:45:00,Book Cover Collage,,"At Home, Gridding, Watching GoT"
